,Period 1,Period 2,Period 3
0,0.41055811562629746,0.5030555111630495,0.469893826166097
1,0.3721809340096141,0.467384924555906,0.4241322508421514
2,0.3428577541303546,0.43586250583577024,0.3863940954324763
3,0.33030799484423506,0.41573504291229074,0.3815195604804223
4,0.32132062918154974,0.4033686525660449,0.3674498419559092
5,0.3185065663117404,0.39678046610772844,0.359737021931835
6,0.3254510002727769,0.396994627681223,0.36532066990810996
7,0.34476731702084906,0.40081231023265135,0.39382707574778136
8,0.37578295622030755,0.42272179123026843,0.4397553672367902
9,0.39042379505198294,0.44495018380992196,0.4580566814567865
10,0.3908744090081099,0.45354781670393157,0.46415782358019336
11,0.3814140540374119,0.45037367171217985,0.45478655360442216
12,0.3766732293035141,0.45141016413500495,0.44778272222075033
13,0.3756388819857295,0.45620953146231213,0.4462475689486751
14,0.3726990456868063,0.4596856548508904,0.4441284405975019
15,0.35809600088800353,0.45022426488000405,0.4330914664649879
16,0.3565136699913342,0.44133551229884793,0.4605442533620765
17,0.369225213450713,0.4478102039866382,0.484431726770964
18,0.40086622255916077,0.47164922529117836,0.5162181915408165
19,0.43938107859100506,0.5040044982541554,0.567154555178148
20,0.4715353236150732,0.53066893346359,0.5889816179996671
21,0.49512572444759734,0.5522817536527137,0.5848391783733111
22,0.48900986710907746,0.5606475756411747,0.552617037640842
23,0.44524810055873565,0.5302898716555322,0.5039012634371399
